user id, text, retweet, favorite, hashtag, create time
1000280837839929345,RT @JYPETWICE_JAPAN: TWICE JAPAN 5th SINGLE『Breakthrough』2019.07.24 Releasehttps://t.co/zUBsxt2rS5#TWICE #Breakt,24880,0,2,Sep Sat 21 06:11:42 +0000 2019,
1000280837839929345,RT @JYPETWICE_JAPAN: TWICE JAPAN 4th SINGLE『HAPPY HAPPY』2019.07.17 Releasehttps://t.co/zUBsxt2rS5#TWICE #HAPPYHA,27547,0,2,Oct Wed 30 06:11:40 +0000 2019,
1000589142479196160,RT @JYPETWICE_JAPAN: TWICE JAPAN 5th SINGLE『Breakthrough』2019.07.24 Releasehttps://t.co/zUBsxt2rS5#TWICE #Breakt,24114,0,2,Aug Sun 18 06:17:56 +0000 2019,
1000589142479196160,RT @JYPETWICE_JAPAN: TWICE JAPAN 4th SINGLE『HAPPY HAPPY』2019.07.17 Releasehttps://t.co/zUBsxt2rS5#TWICE #HAPPYHA,26727,0,2,Oct Mon 21 06:17:53 +0000 2019,
1000622910300610561,RT @shzcaq335: #HWPL #평화걷기 #세계평화선언문6주년 #DPCW지지 #525평화걷기 우린#영원히 평화가족이죠5월 25일(토) AM10:30 유튜브 생중계 (KO) https://t.co,10,0,6,Sep Fri 20 01:09:25 +0000 2019,
1000622910300610561,#HWPL #평화걷기 #세계평화선언문6주년 #DPCW지지 #525평화걷기 우린#영원히 평화가족이죠5월 25일(토) AM10:30 유튜브 생중계 (KO) https://t.co/gfKhvtAQk2 ,10,4,6,Sep Fri 20 22:02:33 +0000 2019,
1000622910300610561,#525 525 함께 걸어봐요#💑평화가 이뤄졌어요~#525 우린 이제 영원히 #평화의 가족이야~👨‍👩‍👧‍👦#HWPL #평화걷기 #세계평화선언문6주년 #DPCW지지 #응답하라_피스레터 #유튜브생중계▶️ 일시: 2019년 5월 25일 토 AM 10:30 ▶️ 유튜브생중계 https://t.co/gfKhvtAQk2 ,4,3,7,Nov Fri 22 21:38:44 +0000 2019,
1001176068,우리는 매일 새로운 날을 맞이하고 있습니다. 우리는 원래 생명의 수표를 받았습니다. 그 수표를 하루에 한 장씩 씁니다.  http,0,0,1,Nov Wed 06 03:23:33 +0000 2019,
1001176068,우리는 매일 새로운 날을 맞이하고 있습니다. 우리는 원래 생명의 수표를 받았습니다. 그 수표를 하루에 한 장씩 씁니다.  http,0,0,1,Oct Tue 01 14:23:32 +0000 2019,
1001176068,[일지희망공원&gt;일지희망편지] 생명의 힘#mailhopehttp,0,0,2,Oct Tue 08 01:23:37 +0000 2019,
1001176068,[일지희망공원&gt;일지희망편지] 생명의 힘#mailhopehttp,0,0,2,Aug Tue 13 10:23:31 +0000 2019,
1001307963225620480,,0,0,0,Oct Tue 15 09:05:14 +0000 2019,
1001307963225620480,yeayyyy&gt;&lt; okeeii masama yaaaa🖤 ,0,0,0,Sep Fri 13 09:04:50 +0000 2019,
1001307963225620480,,0,0,0,Oct Wed 23 07:11:07 +0000 2019,
1001307963225620480,you're welcomee! ,0,0,0,Oct Sat 26 07:10:42 +0000 2019,
